ticker,rows,entries,closed_trades,winning_trades,losing_trades,win_pct,loss_pct,profit_factor,total_return,max_drawdown,error
EURUSD=X,9191,35,35,16,19,45.714285714285715,54.285714285714285,1.7507748367161453,0.017973659641816297,-0.009013891869062318,
GBPUSD=X,9190,36,36,13,23,36.11111111111111,63.888888888888886,1.7173895577751037,0.01640318076422087,-0.011291661738050629,
GBPNZD=X,9188,39,39,16,23,41.02564102564102,58.97435897435898,1.2820321811686028,0.007408511600718315,-0.008213454771910267,
XAUUSD=X,8541,23,23,11,12,47.82608695652174,52.17391304347826,3.0689514128317668,0.14432347141087787,-0.03467785905633858,
USDJPY=X,9192,39,39,16,23,41.02564102564102,58.97435897435898,1.4248382174769734,0.010463210095912112,-0.008547506666036986,
USDCHF=X,9188,31,31,14,17,45.16129032258064,54.83870967741935,1.9707629880090203,0.015627921329483208,-0.005673648685793009,
AUDUSD=X,9191,32,32,15,17,46.875,53.125,1.9520361606376806,0.020220577551187002,-0.01104124796228001,
USDCAD=X,9190,34,34,10,24,29.411764705882355,70.58823529411765,1.4222717760388413,0.006002281196766601,-0.009591691150642179,
NZDUSD=X,9192,25,25,10,15,40.0,60.0,2.8878543758140403,0.03963187373415322,-0.009744225016485863,
